ResponseID,Role,CompanySize,Q1_Discover,Q1_Plan,Q1_Design,Q1_Develop,Q1_Measure,Q2_UseAI_Discover,Q2_UseAI_Plan,Q2_UseAI_Design,Q2_UseAI_Develop,Q2_UseAI_Measure,Q3_PrimaryResearch,Q3_DeskResearch,Q3_BehavioralData,Q3_Brainstorming,Q3_ConceptDev,Q3_InternalReviews,Q4_Satisfaction_PrimaryResearch,Q4_Satisfaction_DeskResearch,Q4_Satisfaction_BehavioralData,Q4_Satisfaction_Brainstorming,Q5_DiscoverImprovement,Q18_MCPFamiliarity,Q20_MCP_PrimaryResearch,Q20_MCP_DeskResearch,Q21_MCP_Satisfaction_PrimaryResearch,Q22_MCPDiscoverImprovement
R016,PM,1000-1999,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,5,4,0,0,"Better data visualization of research insights",Familiar and have used,Yes,Yes,5,"Better performance with large datasets"
R017,Developer,2-49,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,0,0,0,0,"",Heard of but not familiar,No,No,0,""
R018,Designer,500-999,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,0,3,0,4,"More customization for design-specific research",Familiar and planning to use,No,No,0,""
R019,PM,100-249,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,5,5,"Faster iteration on research questions",Familiar and have used,Yes,Yes,5,"Better integration with other internal tools"
R020,Developer,250-499,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar but never used,No,No,0,""
R021,Designer,50-99,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,5,5,5,5,"Better AI-generated user personas",Familiar and have used,Yes,Yes,5,"More flexibility in data source connections"
R022,PM,1000-1999,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,4,4,0,3,"More accurate competitive analysis",Familiar and have used,Yes,No,3,""
R023,Developer,2-49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Never heard of,No,No,0,""
R024,Designer,500-999,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0,5,5,5,"More templates for common research scenarios",Familiar and planning to use,Yes,Yes,0,""
R025,PM,100-249,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,5,5,0,0,"Better synthesis of qualitative and quantitative data",Familiar and have used,Yes,Yes,5,"More comprehensive documentation"
R026,Developer,250-499,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Heard of but not familiar,No,No,0,""
R027,Designer,1000-1999,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,5,4,0,5,"Better integration with design tools like Figma",Familiar and have used,Yes,Yes,4,"Better version control for MCP configurations"
R028,PM,50-99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,"More automated analysis of open-ended responses",Familiar and have used,Yes,Yes,5,"Easier setup and configuration"
R029,Developer,500-999,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar and planning to use,No,No,0,""
R030,Designer,100-249,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,3,5,4,4,"Better collaboration features for team research",Familiar and have used,Yes,Yes,4,"Better security and compliance features"
R031,PM,250-499,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,5,4,0,4,"More AI-assisted report writing from research data",Familiar and have used,Yes,Yes,5,"More built-in analytics capabilities"
R032,Developer,1000-1999,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar but never used,No,No,0,""
R033,Designer,2-49,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,4,0,5,"More AI-generated research questions",Never heard of,No,No,0,""
R034,PM,500-999,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,5,5,5,0,"Better trend analysis over time",Familiar and have used,Yes,Yes,5,"Better error messages and debugging"
R035,Developer,50-99,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,0,0,0,0,"",Heard of but not familiar,No,No,0,""
R036,Designer,100-249,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,"More real-time collaboration during research",Familiar and have used,Yes,Yes,5,"More community-shared MCP server templates"
R037,PM,1000-1999,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,4,4,0,0,"Better visualization of research findings",Familiar and have used,Yes,Yes,4,"Better monitoring and observability"
R038,Developer,250-499,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar and planning to use,No,No,0,""
R039,Designer,500-999,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,5,0,5,"More AI assistance in synthesizing research insights",Familiar and have used,Yes,Yes,0,"More examples of real-world MCP implementations"
R040,PM,50-99,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,5,5,5,0,"Integration with survey platforms like Qualtrics",Familiar and have used,Yes,Yes,5,"Better testing frameworks for MCP servers"
R041,Developer,2-49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Never heard of,No,No,0,""
R042,Designer,100-249,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,4,5,0,5,"Better AI-powered user journey mapping",Familiar and planning to use,Yes,No,0,""
R043,PM,1000-1999,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,5,5,0,4,"More automated analysis of user behavior data",Familiar and have used,Yes,Yes,5,"Better support for enterprise deployment"
R044,Developer,250-499,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Heard of but not familiar,No,No,0,""
R045,Designer,500-999,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,"Nothing major - tools work well",Familiar and have used,Yes,Yes,5,"More scalability for large teams"
R046,PM,50-99,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,4,5,0,0,"Better competitor analysis features",Familiar and have used,Yes,Yes,5,"Better authentication and access control"
R047,Developer,100-249,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,"",Familiar but never used,No,No,0,""
R048,Designer,1000-1999,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,0,4,0,4,"Better AI-assisted persona development",Familiar and have used,Yes,Yes,0,"More robust error recovery"
R049,PM,250-499,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5,5,5,0,"More sophisticated text analytics",Familiar and have used,Yes,Yes,5,"Better caching and performance"
R050,Developer,2-49,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,"",Never heard of,No,No,0,""
